"Recipient","Total","From Individuals","From PACs","Recipient Type","View","Type","Chamber"
"Blackburn Marsha","$15800","$5900","$9900","Candidate (R-TN07)","Republican","Cand","House"
"Tenney Claudia","$9900","$0","$9900","Candidate (R-NY22)","Republican","Cand","House"
"Ryan Paul","$9900","$0","$9900","Candidate (R-WI01)","Republican","Cand","House"
"Culberson John","$9900","$0","$9900","Candidate (R-TX07)","Republican","Cand","House"
"Zeldin Lee","$9900","$0","$9900","Candidate (R-NY01)","Republican","Cand","House"
"Renacci Jim","$9900","$0","$9900","Candidate (R-OH16)","Republican","Cand","House"
"Rothfus Keith J","$9900","$0","$9900","Candidate (R-PA12)","Republican","Cand","House"
"Faso John","$9900","$0","$9900","Candidate (R-NY19)","Republican","Cand","House"
"Stauber Pete","$9900","$0","$9900","Candidate (R-MN08)","Republican","Cand","House"
"Peterson Collin","$9900","$0","$9900","Candidate (D-MN07)","Democrat","Cand","House"
"Sessions Pete","$9900","$0","$9900","Candidate (R-TX32)","Republican","Cand","House"
"Poliquin Bruce","$9900","$0","$9900","Candidate (R-ME02)","Republican","Cand","House"
"Handel Karen","$8950","$0","$8950","Candidate (R-GA06)","Republican","Cand","House"
"Coffman Mike","$7950","$0","$7950","Candidate (R-CO06)","Republican","Cand","House"
"McSally Martha","$7450","$500","$6950","Candidate (R-AZ02)","Republican","Cand","House"
"Barr Andy","$7450","$0","$7450","Candidate (R-KY06)","Republican","Cand","House"
"Chabot Steve","$6950","$0","$6950","Candidate (R-OH01)","Republican","Cand","House"
"Cuellar Henry","$6950","$0","$6950","Candidate (D-TX28)","Democrat","Cand","House"
"Lewis Jason","$6950","$0","$6950","Candidate (R-MN02)","Republican","Cand","House"
"Rohrabacher Dana","$6950","$0","$6950","Candidate (R-CA48)","Republican","Cand","House"
"Carter John","$5950","$0","$5950","Candidate (R-TX31)","Republican","Cand","House"
"Balderson Troy","$5500","$0","$5500","Candidate (R-OH12)","Republican","Cand","House"
"Scalise Steve","$5450","$5450","$0","Candidate (R-LA01)","Republican","Cand","House"
"Stivers Steve","$5000","$0","$5000","Candidate (R-OH15)","Republican","Cand","House"
"Brat Dave","$5000","$1000","$4000","Candidate (R-VA07)","Republican","Cand","House"
"Roby Martha","$5000","$0","$5000","Candidate (R-AL02)","Republican","Cand","House"
"Barletta Lou","$4950","$0","$4950","Candidate (R-PA11)","Republican","Cand","House"
"Saccone Rick","$4950","$0","$4950","Candidate (R-PA14)","Republican","Cand","House"
"Nothstein Marty","$4950","$0","$4950","Candidate (R-PA07)","Republican","Cand","House"
"McCarthy Kevin","$4950","$0","$4950","Candidate (R-CA23)","Republican","Cand","House"
"Goodlatte Bob","$4950","$0","$4950","Candidate (R-VA06)","Republican","Cand","House"
"Comstock Barbara","$4950","$0","$4950","Candidate (R-VA10)","Republican","Cand","House"
"Hagedorn Jim","$4950","$0","$4950","Candidate (R-MN01)","Republican","Cand","House"
"Hurd Will","$4950","$0","$4950","Candidate (R-TX23)","Republican","Cand","House"
"Hill French","$4500","$0","$4500","Candidate (R-AR02)","Republican","Cand","House"
"Budd Ted","$4500","$0","$4500","Candidate (R-NC13)","Republican","Cand","House"
"Bost Mike","$4500","$0","$4500","Candidate (R-IL12)","Republican","Cand","House"
"Curtis John","$4000","$0","$4000","Candidate (R-UT03)","Republican","Cand","House"
"Cline Ben","$4000","$0","$4000","Candidate (R-VA06)","Republican","Cand","House"
"Denham Jeff","$4000","$0","$4000","Candidate (R-CA10)","Republican","Cand","House"
"Cole Tom","$3750","$750","$3000","Candidate (R-OK04)","Republican","Cand","House"
"Conaway Mike","$3500","$0","$3500","Candidate (R-TX11)","Republican","Cand","House"
"Mitchell Paul","$3500","$0","$3500","Candidate (R-MI10)","Republican","Cand","House"
"Bacon Donald John","$3500","$0","$3500","Candidate (R-NE02)","Republican","Cand","House"
"Estes Ron","$3500","$500","$3000","Candidate (R-KS04)","Republican","Cand","House"
"Aderholt Robert B","$3000","$0","$3000","Candidate (R-AL04)","Republican","Cand","House"
"Rodgers Cathy McMorris","$3000","$0","$3000","Candidate (R-WA05)","Republican","Cand","House"
"Diaz-Balart Mario","$3000","$0","$3000","Candidate (R-FL25)","Republican","Cand","House"
"Marino Tom","$3000","$0","$3000","Candidate (R-PA10)","Republican","Cand","House"
"Lesko Debbie","$3000","$0","$3000","Candidate (R-AZ08)","Republican","Cand","House"
"Steube Greg","$3000","$0","$3000","Candidate (R-FL17)","Republican","Cand","House"
"Latta Bob","$3000","$0","$3000","Candidate (R-OH05)","Republican","Cand","House"
"Valadao David","$3000","$0","$3000","Candidate (R-CA21)","Republican","Cand","House"
"Gooden Lance","$3000","$0","$3000","Candidate (R-TX05)","Republican","Cand","House"
"Rogers Mike D","$3000","$0","$3000","Candidate (R-AL03)","Republican","Cand","House"
"Dunn Neal","$3000","$1000","$2000","Candidate (R-FL02)","Republican","Cand","House"
"Smucker Lloyd","$3000","$0","$3000","Candidate (R-PA16)","Republican","Cand","House"
"Young Don","$3000","$0","$3000","Candidate (R-AK01)","Republican","Cand","House"
"Norman Ralph","$3000","$0","$3000","Candidate (R-SC05)","Republican","Cand","House"
"Russell Steven","$3000","$0","$3000","Candidate (R-OK05)","Republican","Cand","House"
"Bishop Mike","$2500","$0","$2500","Candidate (R-MI08)","Republican","Cand","House"
"Bishop Sanford","$2500","$0","$2500","Candidate (D-GA02)","Democrat","Cand","House"
"Smith Jason","$2500","$0","$2500","Candidate (R-MO08)","Republican","Cand","House"
"Blum Rod","$2500","$0","$2500","Candidate (R-IA01)","Republican","Cand","House"
"Marshall Roger","$2500","$0","$2500","Candidate (R-KS01)","Republican","Cand","House"
"Gaetz Matt","$2500","$0","$2500","Candidate (R-FL01)","Republican","Cand","House"
"Harris Andy","$2500","$0","$2500","Candidate (R-MD01)","Republican","Cand","House"
"Williams Roger","$2500","$0","$2500","Candidate (R-TX25)","Republican","Cand","House"
"Perry Scott","$2500","$0","$2500","Candidate (R-PA04)","Republican","Cand","House"
"Harris Mark","$2500","$0","$2500","Candidate (R-NC09)","Republican","Cand","House"
"Hudson Richard","$2500","$0","$2500","Candidate (R-NC08)","Republican","Cand","House"
"Walters Mimi","$2500","$0","$2500","Candidate (R-CA45)","Republican","Cand","House"
"Pence Greg","$2500","$0","$2500","Candidate (R-IN06)","Republican","Cand","House"
"Harkey Diane","$2500","$0","$2500","Candidate (R-CA49)","Republican","Cand","House"
"Wilson Joe","$2000","$0","$2000","Candidate (R-SC02)","Republican","Cand","House"
"Turner Michael R","$2000","$0","$2000","Candidate (R-OH10)","Republican","Cand","House"
"Kustoff David","$2000","$0","$2000","Candidate (R-TN08)","Republican","Cand","House"
"Foxx Virginia","$2000","$0","$2000","Candidate (R-NC05)","Republican","Cand","House"
"Huizenga Bill","$2000","$0","$2000","Candidate (R-MI02)","Republican","Cand","House"
"Desjarlais Scott","$2000","$0","$2000","Candidate (R-TN04)","Republican","Cand","House"
"Hartzler Vicky","$2000","$0","$2000","Candidate (R-MO04)","Republican","Cand","House"
"Amodei Mark","$2000","$0","$2000","Candidate (R-NV02)","Republican","Cand","House"
"Palazzo Steven","$2000","$0","$2000","Candidate (R-MS04)","Republican","Cand","House"
"Meadows Mark","$2000","$0","$2000","Candidate (R-NC11)","Republican","Cand","House"
"Granger Kay","$2000","$0","$2000","Candidate (R-TX12)","Republican","Cand","House"
"Thompson Glenn","$2000","$0","$2000","Candidate (R-PA05)","Republican","Cand","House"
"Flores Bill","$2000","$0","$2000","Candidate (R-TX17)","Republican","Cand","House"
"Weber Randy","$2000","$0","$2000","Candidate (R-TX14)","Republican","Cand","House"
"Pittenger Robert","$2000","$0","$2000","Candidate (R-NC09)","Republican","Cand","House"
"Palmer Gary","$2000","$0","$2000","Candidate (R-AL06)","Republican","Cand","House"
"Newhouse Dan","$2000","$0","$2000","Candidate (R-WA04)","Republican","Cand","House"
"Herrell Yvette","$2000","$0","$2000","Candidate (R-NM02)","Republican","Cand","House"
"Shimkus John","$2000","$0","$2000","Candidate (R-IL15)","Republican","Cand","House"
"Thornberry Mac","$2000","$0","$2000","Candidate (R-TX13)","Republican","Cand","House"
"Bishop Rob","$2000","$0","$2000","Candidate (R-UT01)","Republican","Cand","House"
"Olson Pete","$2000","$0","$2000","Candidate (R-TX22)","Republican","Cand","House"
"Wittman Rob","$2000","$0","$2000","Candidate (R-VA01)","Republican","Cand","House"
"Harper Gregg","$2000","$0","$2000","Candidate (R-MS03)","Republican","Cand","House"
"Long Billy","$2000","$0","$2000","Candidate (R-MO07)","Republican","Cand","House"
"Duncan Jeff","$2000","$0","$2000","Candidate (R-SC03)","Republican","Cand","House"
"Reed Tom","$2000","$0","$2000","Candidate (R-NY23)","Republican","Cand","House"
"Walorski Jackie","$2000","$0","$2000","Candidate (R-IN02)","Republican","Cand","House"
"Johnson Bill","$2000","$0","$2000","Candidate (R-OH06)","Republican","Cand","House"
"Wenstrup Brad","$2000","$0","$2000","Candidate (R-OH02)","Republican","Cand","House"
"Mullin Markwayne","$2000","$0","$2000","Candidate (R-OK02)","Republican","Cand","House"
"Rouzer David","$2000","$0","$2000","Candidate (R-NC07)","Republican","Cand","House"
"Davis Rodney","$2000","$0","$2000","Candidate (R-IL13)","Republican","Cand","House"
"Hardy Cresent","$2000","$0","$2000","Candidate (R-NV04)","Republican","Cand","House"
"Graves Garret","$2000","$0","$2000","Candidate (R-LA06)","Republican","Cand","House"
"Garrett Tom","$2000","$0","$2000","Candidate (R-VA05)","Republican","Cand","House"
"Lucas Frank D","$2000","$0","$2000","Candidate (R-OK03)","Republican","Cand","House"
"Brady Kevin","$2000","$0","$2000","Candidate (R-TX08)","Republican","Cand","House"
"Luetkemeyer Blaine","$2000","$0","$2000","Candidate (R-MO03)","Republican","Cand","House"
"Kinzinger Adam","$2000","$0","$2000","Candidate (R-IL16)","Republican","Cand","House"
"Gibbs Bob","$2000","$0","$2000","Candidate (R-OH07)","Republican","Cand","House"
"Stewart Chris","$2000","$0","$2000","Candidate (R-UT02)","Republican","Cand","House"
"Joyce David P","$2000","$0","$2000","Candidate (R-OH14)","Republican","Cand","House"
"Walker Mark","$2000","$0","$2000","Candidate (R-NC06)","Republican","Cand","House"
"Loudermilk Barry","$2000","$0","$2000","Candidate (R-GA11)","Republican","Cand","House"
"LaHood Darin","$2000","$0","$2000","Candidate (R-IL18)","Republican","Cand","House"
"Arrington Jodey","$2000","$0","$2000","Candidate (R-TX19)","Republican","Cand","House"
"Hollingsworth Trey","$2000","$0","$2000","Candidate (R-IN09)","Republican","Cand","House"
"Davidson Warren","$2000","$0","$2000","Candidate (R-OH08)","Republican","Cand","House"
"Biggs Andy","$2000","$0","$2000","Candidate (R-AZ05)","Republican","Cand","House"
"Higgins Clay","$2000","$0","$2000","Candidate (R-LA03)","Republican","Cand","House"
"Roberts Kevin","$2000","$0","$2000","Candidate (R-TX02)","Republican","Cand","House"
"Collins Chris","$2000","$0","$2000","Candidate (R-NY27)","Republican","Cand","House"
"Sensenbrenner Jim","$2000","$0","$2000","Candidate (R-WI05)","Republican","Cand","House"
"McClintock Tom","$2000","$0","$2000","Candidate (R-CA04)","Republican","Cand","House"
"McHenry Patrick","$2000","$0","$2000","Candidate (R-NC10)","Republican","Cand","House"
"Kelly Mike","$2000","$0","$2000","Candidate (R-PA03)","Republican","Cand","House"
"Mooney Alex","$2000","$0","$2000","Candidate (R-WV02)","Republican","Cand","House"
"Abraham Ralph","$2000","$0","$2000","Candidate (R-LA05)","Republican","Cand","House"
"Ferguson Drew","$2000","$0","$2000","Candidate (R-GA03)","Republican","Cand","House"
"Johnson Mike","$2000","$0","$2000","Candidate (R-LA04)","Republican","Cand","House"
"Gianforte Greg","$2000","$0","$2000","Candidate (R-MT01)","Republican","Cand","House"
"Miller Carol","$2000","$0","$2000","Candidate (R-WV03)","Republican","Cand","House"
"Taylor Van","$2000","$0","$2000","Candidate (R-TX03)","Republican","Cand","House"
"Meuser Dan","$2000","$0","$2000","Candidate (R-PA09)","Republican","Cand","House"
"Graves Tom","$2000","$0","$2000","Candidate (R-GA14)","Republican","Cand","House"
"Hultgren Randy","$2000","$0","$2000","Candidate (R-IL14)","Republican","Cand","House"
"Hice Jody","$2000","$0","$2000","Candidate (R-GA10)","Republican","Cand","House"
"Wagner Ann","$2000","$0","$2000","Candidate (R-MO02)","Republican","Cand","House"
"Stefanik Elise","$2000","$0","$2000","Candidate (R-NY21)","Republican","Cand","House"
"Cloud Michael","$2000","$0","$2000","Candidate (R-TX27)","Republican","Cand","House"
"Babin Brian","$2000","$0","$2000","Candidate (R-TX36)","Republican","Cand","House"
"Burgess Michael","$2000","$0","$2000","Candidate (R-TX26)","Republican","Cand","House"
"McCaul Michael","$2000","$0","$2000","Candidate (R-TX10)","Republican","Cand","House"
"Marchant Kenny","$2000","$0","$2000","Candidate (R-TX24)","Republican","Cand","House"
"Yoder Kevin","$2000","$0","$2000","Candidate (R-KS03)","Republican","Cand","House"
"Holding George","$2000","$0","$2000","Candidate (R-NC02)","Republican","Cand","House"
"Cook Paul","$2000","$0","$2000","Candidate (R-CA08)","Republican","Cand","House"
"Byrne Bradley","$2000","$0","$2000","Candidate (R-AL01)","Republican","Cand","House"
"Emmer Tom","$2000","$0","$2000","Candidate (R-MN06)","Republican","Cand","House"
"Banks Jim","$2000","$0","$2000","Candidate (R-IN03)","Republican","Cand","House"
"Schweikert David","$2000","$0","$2000","Candidate (R-AZ06)","Republican","Cand","House"
"Walden Greg","$2000","$0","$2000","Candidate (R-OR02)","Republican","Cand","House"
"Walberg Tim","$2000","$0","$2000","Candidate (R-MI07)","Republican","Cand","House"
"Poe Ted","$2000","$0","$2000","Candidate (R-TX02)","Republican","Cand","House"
"Fleischmann Chuck","$2000","$0","$2000","Candidate (R-TN03)","Republican","Cand","House"
"Bucshon Larry","$2000","$0","$2000","Candidate (R-IN08)","Republican","Cand","House"
"Griffith Morgan","$2000","$0","$2000","Candidate (R-VA09)","Republican","Cand","House"
"Woodall Rob","$2000","$0","$2000","Candidate (R-GA07)","Republican","Cand","House"
"Rice Tom","$2000","$0","$2000","Candidate (R-SC07)","Republican","Cand","House"
"Love Mia","$2000","$0","$2000","Candidate (R-UT04)","Republican","Cand","House"
"Moolenaar John","$2000","$0","$2000","Candidate (R-MI04)","Republican","Cand","House"
"Miller Mike","$2000","$0","$2000","Candidate (R-FL07)","Republican","Cand","House"
"Arrington Katie","$2000","$0","$2000","Candidate (R-SC01)","Republican","Cand","House"
"Bergman John","$1500","$0","$1500","Candidate (R-MI01)","Republican","Cand","House"
"Watkins Steve","$1250","$250","$1000","Candidate (R-KS02)","Republican","Cand","House"
"Rogers Hal","$1000","$0","$1000","Candidate (R-KY05)","Republican","Cand","House"
"Nunes Devin","$1000","$0","$1000","Candidate (R-CA22)","Republican","Cand","House"
"Smith Adrian","$1000","$0","$1000","Candidate (R-NE03)","Republican","Cand","House"
"Westerman Bruce","$1000","$0","$1000","Candidate (R-AR04)","Republican","Cand","House"
"Hern Kevin","$1000","$0","$1000","Candidate (R-OK01)","Republican","Cand","House"
"Burchett Tim","$1000","$0","$1000","Candidate (R-TN02)","Republican","Cand","House"
"Graves Sam","$1000","$0","$1000","Candidate (R-MO06)","Republican","Cand","House"
"Shuster Bill","$1000","$0","$1000","Candidate (R-PA09)","Republican","Cand","House"
"Taylor Scott","$1000","$0","$1000","Candidate (R-VA02)","Republican","Cand","House"
"Farenthold Blake","$1000","$0","$1000","Candidate (R-TX27)","Republican","Cand","House"
"Womack Steve","$1000","$0","$1000","Candidate (R-AR03)","Republican","Cand","House"
"Cheney Liz","$1000","$0","$1000","Candidate (R-WY01)","Republican","Cand","House"
"Hammond Scott","$1000","$0","$1000","Candidate (R-NV03)","Republican","Cand","House"
"Roy Chip","$1000","$0","$1000","Candidate (R-TX21)","Republican","Cand","House"
"Joyce John","$1000","$0","$1000","Candidate (R-PA13)","Republican","Cand","House"
"Hunter Duncan D","$1000","$0","$1000","Candidate (R-CA50)","Republican","Cand","House"
"Duffy Sean P","$1000","$0","$1000","Candidate (R-WI07)","Republican","Cand","House"
"Dahm Nathan Ryan","$1000","$0","$1000","Candidate (R-OK01)","Republican","Cand","House"
"Collins Doug","$1000","$0","$1000","Candidate (R-GA09)","Republican","Cand","House"
"Rose John","$1000","$0","$1000","Candidate (R-TN06)","Republican","Cand","House"
"Pelzer Kimberlin Brown","$1000","$0","$1000","Candidate (R-CA36)","Republican","Cand","House"
"Jordan Jim","$1000","$0","$1000","Candidate (R-OH04)","Republican","Cand","House"
"Crawford Rick","$1000","$0","$1000","Candidate (R-AR01)","Republican","Cand","House"
"Johnson Dusty","$1000","$0","$1000","Candidate (R-SD01)","Republican","Cand","House"
"Hagan Christina","$1000","$0","$1000","Candidate (R-OH16)","Republican","Cand","House"
"Sanford Mark","$1000","$0","$1000","Candidate (R-SC01)","Republican","Cand","House"
"Paulsen Erik","$1000","$0","$1000","Candidate (R-MN03)","Republican","Cand","House"
"Gosar Paul","$1000","$0","$1000","Candidate (R-AZ04)","Republican","Cand","House"
"Scott Austin","$1000","$0","$1000","Candidate (R-GA08)","Republican","Cand","House"
"Yoho Ted","$1000","$0","$1000","Candidate (R-FL03)","Republican","Cand","House"
"Allen Richard W","$1000","$0","$1000","Candidate (R-GA12)","Republican","Cand","House"
"Carter Buddy","$1000","$0","$1000","Candidate (R-GA01)","Republican","Cand","House"
"Chrin John","$1000","$0","$1000","Candidate (R-PA08)","Republican","Cand","House"
"Reschenthaler Guy","$1000","$0","$1000","Candidate (R-PA14)","Republican","Cand","House"
"Baird Jim","$1000","$0","$1000","Candidate (R-IN04)","Republican","Cand","House"
"Timmons William","$1000","$0","$1000","Candidate (R-SC04)","Republican","Cand","House"
"Franks Trent","$1000","$0","$1000","Candidate (R-AZ08)","Republican","Cand","House"
"Buck Ken","$1000","$0","$1000","Candidate (R-CO04)","Republican","Cand","House"
"Brooks Mo","$1000","$0","$1000","Candidate (R-AL05)","Republican","Cand","House"
"Rogers Wendy","$1000","$0","$1000","Candidate (R-AZ01)","Republican","Cand","House"
"Knight Steve","$1000","$0","$1000","Candidate (R-CA25)","Republican","Cand","House"
"Waltz Michael","$1000","$0","$1000","Candidate (R-FL06)","Republican","Cand","House"
"Riggleman Denver","$1000","$0","$1000","Candidate (R-VA05)","Republican","Cand","House"
"Calvert Ken","$1000","$0","$1000","Candidate (R-CA42)","Republican","Cand","House"
"Fortenberry Jeff","$1000","$0","$1000","Candidate (R-NE01)","Republican","Cand","House"
"McKinley David","$1000","$0","$1000","Candidate (R-WV01)","Republican","Cand","House"
"LaMalfa Doug","$1000","$0","$1000","Candidate (R-CA01)","Republican","Cand","House"
"Ratcliffe John","$1000","$0","$1000","Candidate (R-TX04)","Republican","Cand","House"
"Grothman Glenn S","$1000","$0","$1000","Candidate (R-WI06)","Republican","Cand","House"
"Mast Brian","$1000","$0","$1000","Candidate (R-FL18)","Republican","Cand","House"
"Comer James","$1000","$0","$1000","Candidate (R-KY01)","Republican","Cand","House"
"Crenshaw Dan","$1000","$0","$1000","Candidate (R-TX02)","Republican","Cand","House"
"Simpson Mike","$1000","$0","$1000","Candidate (R-ID02)","Republican","Cand","House"
"Tipton Scott","$1000","$0","$1000","Candidate (R-CO03)","Republican","Cand","House"
"Lamborn Doug","$1000","$0","$1000","Candidate (R-CO05)","Republican","Cand","House"
"Rooney Tom","$1000","$0","$1000","Candidate (R-FL17)","Republican","Cand","House"
"Jenkins Evan","$1000","$0","$1000","Candidate (R-WV03)","Republican","Cand","House"
"Katko John","$1000","$0","$1000","Candidate (R-NY24)","Republican","Cand","House"
"Fulcher Russ","$1000","$0","$1000","Candidate (R-ID01)","Republican","Cand","House"
"Green Mark","$1000","$0","$1000","Candidate (R-TN07)","Republican","Cand","House"
"Wright Ron","$1000","$0","$1000","Candidate (R-TX06)","Republican","Cand","House"
"Armstrong Kelly","$1000","$0","$1000","Candidate (R-ND01)","Republican","Cand","House"
"Spano Ross","$1000","$0","$1000","Candidate (R-FL15)","Republican","Cand","House"
"Phillips Rupie Jr","$500","$500","$0","Candidate (R-WV03)","Republican","Cand","House"
"Livengood Marla","$400","$400","$0","Candidate (R-CA09)","Republican","Cand","House"
"Fletcher Lizzie","$13","$13","$0","Candidate (D-TX07)","Democrat","Cand","House"
"Levin Mike","$13","$13","$0","Candidate (D-CA49)","Democrat","Cand","House"
"Wexton Jennifer","$13","$13","$0","Candidate (D-VA10)","Democrat","Cand","House"
"Harder Josh","$13","$13","$0","Candidate (D-CA10)","Democrat","Cand","House"
"Crow Jason","$13","$13","$0","Candidate (D-CO06)","Democrat","Cand","House"
"Allred Colin","$13","$13","$0","Candidate (D-TX32)","Democrat","Cand","House"
"Rosen Jacky","$13","$13","$0","Candidate (D-NV03)","Democrat","Cand","House"
"Wild Susan","$13","$13","$0","Candidate (D-PA15)","Democrat","Cand","House"
"Webster Daniel","-$1000","$0","-$1000","Candidate (R-FL11)","Republican","Cand","House"
"Rooney Francis","-$1000","$0","-$1000","Candidate (R-FL19)","Republican","Cand","House"
"Mica John L","-$2000","$0","-$2000","Candidate (R-FL07)","Republican","Cand","House"