branch,district,forecastdate,name_D1,name_R1,winner_D1,winner_R1,tipping,timestamp
House,WY-1,2022-11-08,Lynnette GreyBull,Harriet Hageman,0.000825,0.999175,2.5e-05,00:12:39  8 Nov 2022
House,WV-2,2022-11-08,Barry Lee Wendell,Alexander X. Mooney,0.0005,0.9995,2.5e-05,00:12:39  8 Nov 2022
House,WV-1,2022-11-08,Lacy Watson,Carol Miller,0.000725,0.999275,3.75e-05,00:12:39  8 Nov 2022
House,WI-7,2022-11-08,Richard Dick Ausman,Tom Tiffany,0.006075,0.993925,0.000375,00:12:39  8 Nov 2022
House,WI-5,2022-11-08,Mike Van Someren,Scott Fitzgerald,0.0016,0.9984,7.5e-05,00:12:39  8 Nov 2022
House,WI-4,2022-11-08,Gwen Moore,Tim Rogers,0.999875,0.000125,0.0,00:12:39  8 Nov 2022
House,WI-3,2022-11-08,Brad Pfaff,Derrick Van Orden,0.1191,0.8809,0.008125,00:12:39  8 Nov 2022
House,WI-2,2022-11-08,Mark Pocan,Erik Olsen,0.99985,0.00015,1.25e-05,00:12:39  8 Nov 2022
House,WI-1,2022-11-08,Ann Roe,Bryan Steil,0.055925,0.944075,0.00345,00:12:39  8 Nov 2022
House,WA-9,2022-11-08,Adam Smith,Doug Basler,0.99965,0.00035,0.0,00:12:39  8 Nov 2022
House,WA-8,2022-11-08,Kim Schrier,Matt Larkin,0.695575,0.304425,0.0083875,00:12:39  8 Nov 2022
House,WA-7,2022-11-08,Pramila Jayapal,Cliff Moon,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,WA-6,2022-11-08,Derek Kilmer,Elizabeth Kreiselmaier,0.961125,0.038875,0.00095,00:12:39  8 Nov 2022
House,WA-5,2022-11-08,Natasha Hill,Cathy McMorris Rodgers,0.016975,0.983025,0.000975,00:12:39  8 Nov 2022
House,WA-4,2022-11-08,Doug White,Dan Newhouse,0.004025,0.995975,0.0001875,00:12:39  8 Nov 2022
House,WA-3,2022-11-08,Marie Gluesenkamp Perez,Joe Kent,0.1529,0.8471,0.012775,00:12:39  8 Nov 2022
House,WA-2,2022-11-08,Rick Larsen,Dan Matthews,0.983325,0.016675,0.0002625,00:12:39  8 Nov 2022
House,WA-1,2022-11-08,Suzan DelBene,Vincent J. Cavaleri,0.9935,0.0065,0.0001375,00:12:39  8 Nov 2022
House,WA-10,2022-11-08,Marilyn Strickland,Keith R. Swank,0.9467,0.0533,0.00105,00:12:39  8 Nov 2022
House,VT-1,2022-11-08,Becca Balint,Liam Madden,0.99945,0.00055,0.0,00:12:39  8 Nov 2022
House,VA-9,2022-11-08,Taysha Lee DeVaughan,H. Morgan Griffith,0.000125,0.999875,0.0,00:12:39  8 Nov 2022
House,VA-8,2022-11-08,Donald S. Beyer Jr.,Karina A. Lipsman,0.99995,5e-05,1.25e-05,00:12:39  8 Nov 2022
House,VA-7,2022-11-08,Abigail A. Spanberger,Yesli I. Vega,0.651725,0.348275,0.0105875,00:12:39  8 Nov 2022
House,VA-6,2022-11-08,Jennifer Lynn Lewis,Ben L. Cline,0.0012,0.9988,8.75e-05,00:12:39  8 Nov 2022
House,VA-5,2022-11-08,Joshua M. Throneburg,Robert G. “Bob” Good,0.0188,0.9812,0.00125,00:12:39  8 Nov 2022
House,VA-4,2022-11-08,A. Donald McEachin,Leon Benjamin Sr.,0.9994,0.0006,0.0,00:12:39  8 Nov 2022
House,VA-3,2022-11-08,Robert C. “Bobby” Scott,Terry T. Namkung,0.999125,0.000875,2.5e-05,00:12:39  8 Nov 2022
House,VA-2,2022-11-08,Elaine G. Luria,Jen A. Kiggans,0.56575,0.43425,0.0130375,00:12:39  8 Nov 2022
House,VA-1,2022-11-08,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,0.015925,0.984075,0.0009,00:12:39  8 Nov 2022
House,VA-11,2022-11-08,Gerald E. “Gerry” Connolly,James G. “Jim” Myles,0.9985,0.0015,3.75e-05,00:12:39  8 Nov 2022
House,VA-10,2022-11-08,Jennifer T. Wexton,Hung Cao,0.79255,0.20745,0.0050625,00:12:39  8 Nov 2022
House,UT-4,2022-11-08,Darlene McDonald,Burgess Owens,0.00585,0.99415,0.0003125,00:12:39  8 Nov 2022
House,UT-3,2022-11-08,Glenn J. Wright,John Curtis,0.00885,0.99115,0.0005875,00:12:39  8 Nov 2022
House,UT-2,2022-11-08,Nick Mitchell,Chris Stewart,0.013725,0.986275,0.0009,00:12:39  8 Nov 2022
House,UT-1,2022-11-08,Rick Edwin Jones,Blake D. Moore,0.00515,0.99485,0.0004375,00:12:39  8 Nov 2022
House,TX-9,2022-11-08,Al Green,Jimmy I. Leon,0.999875,0.000125,1.25e-05,00:12:39  8 Nov 2022
House,TX-8,2022-11-08,Laura Jones,Morgan Luttrell,0.00795,0.99205,0.00035,00:12:39  8 Nov 2022
House,TX-7,2022-11-08,Lizzie Fletcher,Johnny Teague,0.994125,0.005875,3.75e-05,00:12:39  8 Nov 2022
House,TX-5,2022-11-08,Tartisha Hill,Lance Gooden,0.0012,0.9988,7.5e-05,00:12:39  8 Nov 2022
House,TX-4,2022-11-08,Iro Omere,Pat Fallon,0.001,0.999,5e-05,00:12:39  8 Nov 2022
House,TX-38,2022-11-08,Duncan F. Klussmann,Wesley Hunt,0.006775,0.9932,0.0003625,00:12:39  8 Nov 2022
House,TX-37,2022-11-08,Lloyd Doggett,Jenny Garcia Sharon,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,TX-36,2022-11-08,Jon Haire,Brian Babin,0.000275,0.999725,1.25e-05,00:12:39  8 Nov 2022
House,TX-35,2022-11-08,Greg Casar,Dan McQueen,0.997325,0.002675,2.5e-05,00:12:39  8 Nov 2022
House,TX-34,2022-11-08,Vicente Gonzalez,Mayra Flores,0.736425,0.263525,0.006425,00:12:39  8 Nov 2022
House,TX-33,2022-11-08,Marc Veasey,Patrick David Gillespie,0.999675,0.000325,0.0,00:12:39  8 Nov 2022
House,TX-32,2022-11-08,Colin Allred,Antonio Swad,0.995725,0.004275,8.75e-05,00:12:39  8 Nov 2022
House,TX-3,2022-11-08,Sandeep Srivastava,Keith Self,0.014525,0.985475,0.00075,00:12:39  8 Nov 2022
House,TX-30,2022-11-08,Jasmine Crockett,James Rodgers,0.999775,0.000225,0.0,00:12:39  8 Nov 2022
House,TX-29,2022-11-08,Sylvia Garcia,Robert Schafranek,0.9987,0.0013,1.25e-05,00:12:39  8 Nov 2022
House,TX-28,2022-11-08,Henry Cuellar,Cassy Garcia,0.870875,0.129125,0.0027,00:12:39  8 Nov 2022
House,TX-27,2022-11-08,Maclovio Perez Jr.,Michael Cloud,0.001325,0.998675,5e-05,00:12:39  8 Nov 2022
House,TX-24,2022-11-08,Jan McDowell,Beth Van Duyne,0.00255,0.99745,8.75e-05,00:12:39  8 Nov 2022
House,TX-23,2022-11-08,John Lira,Tony Gonzales,0.0342,0.9658,0.0022875,00:12:39  8 Nov 2022
House,TX-22,2022-11-08,Jamie Kaye Jordan,Troy E. Nehls,0.001825,0.998175,0.0001625,00:12:39  8 Nov 2022
House,TX-2,2022-11-08,Robin Fulford,Dan Crenshaw,0.000625,0.999375,2.5e-05,00:12:39  8 Nov 2022
House,TX-21,2022-11-08,Claudia Andreana Zapata,Chip Roy,0.001725,0.998275,0.0001125,00:12:39  8 Nov 2022
House,TX-20,2022-11-08,Joaquin Castro,Kyle Sinclair,0.9958,0.0042,6.25e-05,00:12:39  8 Nov 2022
House,TX-18,2022-11-08,Sheila Jackson Lee,Carmen Maria Montiel,0.99975,0.00025,1.25e-05,00:12:39  8 Nov 2022
House,TX-17,2022-11-08,Mary Jo Woods,Pete Sessions,0.001675,0.998325,8.75e-05,00:12:39  8 Nov 2022
House,TX-16,2022-11-08,Veronica Escobar,Irene Armendariz-Jackson,0.998225,0.001775,0.0,00:12:39  8 Nov 2022
House,TX-15,2022-11-08,Michelle Vallejo,Monica De La Cruz,0.36065,0.639275,0.012275,00:12:39  8 Nov 2022
House,TX-14,2022-11-08,Mikal Williams,Randy Weber,0.000325,0.999675,1.25e-05,00:12:39  8 Nov 2022
House,TX-13,2022-11-08,Kathleen Brown,Ronny Jackson,0.0001,0.9999,1.25e-05,00:12:39  8 Nov 2022
House,TX-12,2022-11-08,Trey J. Hunt,Kay Granger,0.00165,0.99835,0.0001625,00:12:39  8 Nov 2022
House,TX-1,2022-11-08,Jrmar “JJ” Jefferson,Nathaniel Moran,0.0002,0.9998,3.75e-05,00:12:39  8 Nov 2022
House,TX-10,2022-11-08,Linda Nuno,Michael McCaul,0.002975,0.997025,0.0001875,00:12:39  8 Nov 2022
House,TN-9,2022-11-08,Steve Cohen,Charlotte Bergmann,0.99975,0.00025,0.0,00:12:39  8 Nov 2022
House,TN-8,2022-11-08,Lynnette P. Williams,David Kustoff,5e-05,0.99995,1.25e-05,00:12:39  8 Nov 2022
House,TN-7,2022-11-08,Odessa Kelly,Mark E. Green,0.004825,0.99515,0.0002625,00:12:39  8 Nov 2022
House,TN-6,2022-11-08,Randal Cooper,John Rose,0.000475,0.999525,5e-05,00:12:39  8 Nov 2022
House,TN-5,2022-11-08,Heidi Campbell,Andy Ogles,0.236925,0.763075,0.013,00:12:39  8 Nov 2022
House,TN-4,2022-11-08,Wayne Steele,Scott DesJarlais,0.00015,0.99985,0.0,00:12:39  8 Nov 2022
House,TN-3,2022-11-08,Meg Gorman,Chuck Fleischmann,0.000275,0.999725,1.25e-05,00:12:39  8 Nov 2022
House,TN-2,2022-11-08,Mark Harmon,Tim Burchett,0.0004,0.9996,5e-05,00:12:39  8 Nov 2022
House,TN-1,2022-11-08,Cameron Parsons,Diana Lynn Harshbarger,2.5e-05,0.999975,0.0,00:12:39  8 Nov 2022
House,SC-7,2022-11-08,Daryl W. Scott,Russell Fry,0.01575,0.98425,0.0009625,00:12:39  8 Nov 2022
House,SC-6,2022-11-08,James E. “Jim” Clyburn,Duke Buckner,0.998275,0.001725,2.5e-05,00:12:39  8 Nov 2022
House,SC-5,2022-11-08,Evangeline Hundley,Ralph Norman,0.00195,0.998025,0.0001125,00:12:39  8 Nov 2022
House,SC-2,2022-11-08,Judd Larkins,Joe Wilson,0.00695,0.99305,0.0004125,00:12:39  8 Nov 2022
House,SC-1,2022-11-08,Annie Andrews,Nancy Mace,0.0103,0.9897,0.0007125,00:12:39  8 Nov 2022
House,RI-2,2022-11-08,Seth M. Magaziner,Allan W. Fung,0.172325,0.82765,0.0114,00:12:39  8 Nov 2022
House,RI-1,2022-11-08,David N. Cicilline,Allen R. Waters,0.9983,0.0017,2.5e-05,00:12:39  8 Nov 2022
House,PA-9,2022-11-08,Amanda R. Waldman,Dan Meuser,5e-05,0.99995,0.0,00:12:39  8 Nov 2022
House,PA-8,2022-11-08,Matt Cartwright,Jim Bognet,0.681575,0.318425,0.0096875,00:12:39  8 Nov 2022
House,PA-7,2022-11-08,Susan Wild,Lisa Scheller,0.463475,0.536525,0.01595,00:12:39  8 Nov 2022
House,PA-6,2022-11-08,Chrissy Houlahan,Guy Louis Ciarrocchi,0.942625,0.057375,0.0009875,00:12:39  8 Nov 2022
House,PA-5,2022-11-08,Mary Gay Scanlon,David Galluch,0.998525,0.001475,0.0,00:12:39  8 Nov 2022
House,PA-4,2022-11-08,Madeleine Dean,Christian Nascimento,0.977675,0.022325,0.0005,00:12:39  8 Nov 2022
House,PA-2,2022-11-08,Brendan F. Boyle,Aaron Bashir,0.9998,0.0002,0.0,00:12:39  8 Nov 2022
House,PA-17,2022-11-08,Chris Deluzio,Jeremy Shaffer,0.48525,0.51475,0.0148875,00:12:39  8 Nov 2022
House,PA-16,2022-11-08,Dan Pastore,Mike Kelly,0.003925,0.996075,0.000225,00:12:39  8 Nov 2022
House,PA-15,2022-11-08,Michael Molesevich,Glenn “GT” Thompson,0.000325,0.999675,1.25e-05,00:12:39  8 Nov 2022
House,PA-12,2022-11-08,Summer Lee,Mike Doyle,0.91345,0.08655,0.0019625,00:12:39  8 Nov 2022
House,PA-1,2022-11-08,Ashley Ehasz,Brian Fitzpatrick,0.078075,0.921925,0.0058125,00:12:39  8 Nov 2022
House,PA-11,2022-11-08,Bob Hollister,Lloyd K. Smucker,0.00205,0.99795,0.0001375,00:12:39  8 Nov 2022
House,PA-10,2022-11-08,Shamaine Daniels,Scott Perry,0.227075,0.772925,0.012175,00:12:39  8 Nov 2022
House,OR-6,2022-11-08,Andrea Salinas,Mike Erickson,0.318225,0.68175,0.0170625,00:12:39  8 Nov 2022
House,OR-5,2022-11-08,Jamie McLeod-Skinner,Lori Chavez-DeRemer,0.34155,0.65845,0.015775,00:12:39  8 Nov 2022
House,OR-4,2022-11-08,Val Hoyle,Alek Skarlatos,0.668725,0.331275,0.009475,00:12:39  8 Nov 2022
House,OR-3,2022-11-08,Earl Blumenauer,Joanna Harbour,0.9999,0.0001,0.0,00:12:39  8 Nov 2022
House,OR-2,2022-11-08,Joe Yetter,Cliff S. Bentz,0.0018,0.9982,3.75e-05,00:12:39  8 Nov 2022
House,OR-1,2022-11-08,Suzanne Bonamici,Christopher A. Mann,0.999125,0.000875,1.25e-05,00:12:39  8 Nov 2022
House,OK-5,2022-11-08,Joshua Harris-Till,Stephanie Bice,0.0019,0.9981,0.00025,00:12:39  8 Nov 2022
House,OK-4,2022-11-08,Mary Brannon,Tom Cole,0.000525,0.999475,5e-05,00:12:39  8 Nov 2022
House,OK-3,2022-11-08,Jeremiah A. Ross,Frank D. Lucas,2.5e-05,0.999975,0.0,00:12:39  8 Nov 2022
House,OK-2,2022-11-08,Naomi Andrews,Josh Brecheen,5e-05,0.99995,0.0,00:12:39  8 Nov 2022
House,OK-1,2022-11-08,Adam Martin,Kevin Hern,0.001075,0.998925,7.5e-05,00:12:39  8 Nov 2022
House,OH-9,2022-11-08,Marcy Kaptur,J.R. Majewski,0.718,0.282,0.0073,00:12:39  8 Nov 2022
House,OH-8,2022-11-08,Vanessa Enoch,Warren Davidson,0.001725,0.998275,8.75e-05,00:12:39  8 Nov 2022
House,OH-7,2022-11-08,Matthew Diemer,Max Miller,0.0899,0.9101,0.0042875,00:12:39  8 Nov 2022
House,OH-6,2022-11-08,Louis G. Lyras,Bill Johnson,0.001575,0.998425,6.25e-05,00:12:39  8 Nov 2022
House,OH-5,2022-11-08,Craig Swartz,Bob Latta,0.001625,0.998375,5e-05,00:12:39  8 Nov 2022
House,OH-4,2022-11-08,Tamie Wilson,Jim Jordan,0.0002,0.9998,2.5e-05,00:12:39  8 Nov 2022
House,OH-3,2022-11-08,Joyce Beatty,Lee R. Stahley,0.9998,0.0002,1.25e-05,00:12:39  8 Nov 2022
House,OH-2,2022-11-08,Samantha Meadows,Brad Wenstrup,7.5e-05,0.999925,0.0,00:12:39  8 Nov 2022
House,OH-15,2022-11-08,Gary Josephson,Mike Carey,0.02535,0.97465,0.0016375,00:12:39  8 Nov 2022
House,OH-14,2022-11-08,Matt Kilboy,David P. Joyce,0.010725,0.989275,0.0006375,00:12:39  8 Nov 2022
House,OH-13,2022-11-08,Emilia Sykes,Madison Gesiotto Gilbert,0.424675,0.575325,0.016775,00:12:39  8 Nov 2022
House,OH-12,2022-11-08,Amy Rippel-Elton,Troy Balderson,0.000725,0.999275,2.5e-05,00:12:39  8 Nov 2022
House,OH-1,2022-11-08,Greg Landsman,Steve Chabot,0.35895,0.64105,0.0156875,00:12:39  8 Nov 2022
House,OH-11,2022-11-08,Shontel Brown,Eric J. Brewer,0.999975,2.5e-05,0.0,00:12:39  8 Nov 2022
House,OH-10,2022-11-08,David Esrati,Mike Turner,0.0468,0.9532,0.0027125,00:12:39  8 Nov 2022
House,NY-8,2022-11-08,Hakeem S. Jeffries,Yuri Dashevsky,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NY-7,2022-11-08,Nydia M. Velázquez,Juan Pagán,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NY-6,2022-11-08,Grace Meng,Tom Zmich,0.99685,0.00315,3.75e-05,00:12:39  8 Nov 2022
House,NY-5,2022-11-08,Gregory Meeks,Paul King,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NY-4,2022-11-08,Laura A. Gillen,Anthony P. D'Esposito,0.52415,0.47585,0.010075,00:12:39  8 Nov 2022
House,NY-3,2022-11-08,Robert P. Zimmerman,George A.D. Santos,0.531875,0.468125,0.011175,00:12:39  8 Nov 2022
House,NY-26,2022-11-08,Brian Higgins,Steven L. Sams II,0.98865,0.01135,0.0002,00:12:39  8 Nov 2022
House,NY-25,2022-11-08,Joseph D. Morelle,La'Ron D. Singletary,0.869025,0.130975,0.0031375,00:12:39  8 Nov 2022
House,NY-24,2022-11-08,Steven Holden,Claudia Tenney,0.007325,0.992675,0.0005,00:12:39  8 Nov 2022
House,NY-23,2022-11-08,Max H. Della Pia,Nick Langworthy,0.031725,0.968275,0.002025,00:12:39  8 Nov 2022
House,NY-22,2022-11-08,Francis Conole,Brandon M. Williams,0.53805,0.46195,0.0152375,00:12:39  8 Nov 2022
House,NY-2,2022-11-08,Jackie Gordon,Andrew R. Garbarino,0.17285,0.82715,0.0096875,00:12:39  8 Nov 2022
House,NY-21,2022-11-08,Matt Castelli,Elise M. Stefanik,0.02145,0.97855,0.00155,00:12:39  8 Nov 2022
House,NY-20,2022-11-08,Paul D. Tonko,Elizabeth L. Joy,0.978225,0.021775,0.000525,00:12:39  8 Nov 2022
House,NY-19,2022-11-08,Josh Riley,Marcus Molinaro,0.702525,0.297475,0.0085,00:12:39  8 Nov 2022
House,NY-18,2022-11-08,Pat Ryan,Colin J. Schmitt,0.8449,0.1551,0.00375,00:12:39  8 Nov 2022
House,NY-17,2022-11-08,Sean Patrick Maloney,Michael V. Lawler,0.637725,0.362275,0.0095875,00:12:39  8 Nov 2022
House,NY-16,2022-11-08,Jamaal Bowman,Miriam L. Flisser,0.99985,0.00015,0.0,00:12:39  8 Nov 2022
House,NY-15,2022-11-08,Ritchie J. Torres,Stylo A. Sapaskis,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NY-14,2022-11-08,Alexandria Ocasio-Cortez,Tina Forte,0.99995,5e-05,0.0,00:12:39  8 Nov 2022
House,NY-12,2022-11-08,Jerrold L. Nadler,Michael Zumbluskas,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NY-1,2022-11-08,Bridget Fleming,Nicholas J. LaLota,0.227225,0.772775,0.0091,00:12:39  8 Nov 2022
House,NY-11,2022-11-08,Max N. Rose,Nicole Malliotakis,0.12665,0.87335,0.0088875,00:12:39  8 Nov 2022
House,NY-10,2022-11-08,Daniel Goldman,Benine Hamdan,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,NV-4,2022-11-08,Steven A. Horsford,Sam Peters,0.642925,0.357075,0.0096375,00:12:39  8 Nov 2022
House,NV-3,2022-11-08,Susie Lee,April Becker,0.39315,0.60685,0.016025,00:12:39  8 Nov 2022
House,NV-2,2022-11-08,Elizabeth Mercedes Krause,Mark E. Amodei,0.0017,0.9983,0.0001625,00:12:39  8 Nov 2022
House,NV-1,2022-11-08,Dina Titus,Mark Robertson,0.178625,0.82135,0.01325,00:12:39  8 Nov 2022
House,NM-3,2022-11-08,Teresa Leger Fernandez,Alexis Martinez Johnson,0.992775,0.007225,0.000125,00:12:39  8 Nov 2022
House,NM-2,2022-11-08,Gabriel Vasquez,Yvette Herrell,0.311075,0.688925,0.0191125,00:12:39  8 Nov 2022
House,NM-1,2022-11-08,Melanie Ann Stansbury,Michelle Garcia Holmes,0.9381,0.0619,0.0008375,00:12:39  8 Nov 2022
House,NJ-9,2022-11-08,Bill Pascrell Jr.,Billy Prempeh,0.97135,0.02865,0.00055,00:12:39  8 Nov 2022
House,NJ-8,2022-11-08,Robert J. Menendez,Marcos Arroyo,0.999225,0.000775,2.5e-05,00:12:39  8 Nov 2022
House,NJ-7,2022-11-08,Tom Malinowski,Thomas H. Kean Jr.,0.349075,0.650925,0.013125,00:12:39  8 Nov 2022
House,NJ-6,2022-11-08,Frank Pallone Jr.,Susan M. Kiley,0.960175,0.039825,0.001,00:12:39  8 Nov 2022
House,NJ-5,2022-11-08,Josh Gottheimer,Frank T. Pallotta,0.872575,0.127425,0.0033,00:12:39  8 Nov 2022
House,NJ-4,2022-11-08,Matthew Jenkins,Christopher H. Smith,0.00115,0.99885,3.75e-05,00:12:39  8 Nov 2022
House,NJ-3,2022-11-08,Andy Kim,Bob Healey,0.811525,0.188475,0.0046875,00:12:39  8 Nov 2022
House,NJ-2,2022-11-08,Tim Alexander,Jeff Van Drew,0.027675,0.972325,0.0017,00:12:39  8 Nov 2022
House,NJ-12,2022-11-08,Bonnie Watson Coleman,Darius Mayfield,0.997575,0.002425,1.25e-05,00:12:39  8 Nov 2022
House,NJ-1,2022-11-08,Donald W. Norcross,Claire Gustafson,0.923375,0.076625,0.0019625,00:12:39  8 Nov 2022
House,NJ-11,2022-11-08,Mikie Sherrill,Paul DeGroot,0.92795,0.07205,0.0014125,00:12:39  8 Nov 2022
House,NJ-10,2022-11-08,Donald M. Payne Jr.,David H. Pinckney,0.999975,2.5e-05,0.0,00:12:39  8 Nov 2022
House,NH-2,2022-11-08,Ann McLane Kuster,Robert Burns,0.878125,0.121875,0.0023875,00:12:39  8 Nov 2022
House,NH-1,2022-11-08,Chris Pappas,Karoline Leavitt,0.49465,0.50535,0.0163375,00:12:39  8 Nov 2022
House,NE-3,2022-11-08,David J. Else,Adrian Smith,0.0,1.0,0.0,00:12:39  8 Nov 2022
House,NE-2,2022-11-08,Tony Vargas,Don Bacon,0.1706,0.8294,0.0114,00:12:39  8 Nov 2022
House,NE-1,2022-11-08,Patty Pansing Brooks,Mike Flood,0.010875,0.989125,0.0008,00:12:39  8 Nov 2022
House,NC-9,2022-11-08,Ben Clark,Richard Hudson,0.03585,0.96415,0.0019875,00:12:39  8 Nov 2022
House,NC-8,2022-11-08,Scott Huffman,Dan Bishop,0.0002,0.9998,1.25e-05,00:12:39  8 Nov 2022
House,NC-7,2022-11-08,Charles Graham,David Rouzer,0.01975,0.98025,0.00135,00:12:39  8 Nov 2022
House,NC-6,2022-11-08,Kathy Manning,Christian Castelli,0.908525,0.091475,0.0022875,00:12:39  8 Nov 2022
House,NC-5,2022-11-08,Kyle Parrish,Virginia Foxx,0.004025,0.995975,0.00025,00:12:39  8 Nov 2022
House,NC-4,2022-11-08,Valerie P. Foushee,Courtney Geels,0.99685,0.00315,0.0001,00:12:39  8 Nov 2022
House,NC-3,2022-11-08,Barbara D. Gaskins,Greg Murphy,0.002025,0.997975,6.25e-05,00:12:39  8 Nov 2022
House,NC-2,2022-11-08,Deborah K. Ross,Christine E. Villaverde,0.99585,0.00415,6.25e-05,00:12:39  8 Nov 2022
House,NC-14,2022-11-08,Jeff Jackson,Pat Harrigan,0.83955,0.16045,0.0037375,00:12:39  8 Nov 2022
House,NC-13,2022-11-08,Wiley Nickel,Bo Hines,0.545125,0.454875,0.0142,00:12:39  8 Nov 2022
House,NC-12,2022-11-08,Alma S. Adams,Tyler Lee,0.997875,0.002125,6.25e-05,00:12:39  8 Nov 2022
House,NC-1,2022-11-08,Don Davis,Sandy Smith,0.8229,0.1771,0.00555,00:12:39  8 Nov 2022
House,NC-11,2022-11-08,Jasmine Beach-Ferrara,Chuck Edwards,0.179575,0.8204,0.0098375,00:12:39  8 Nov 2022
House,NC-10,2022-11-08,Pam Genant,Patrick McHenry,0.000225,0.999775,1.25e-05,00:12:39  8 Nov 2022
House,MT-2,2022-11-08,Penny Ronning,Matt Rosendale,0.023425,0.976575,0.00155,00:12:39  8 Nov 2022
House,MT-1,2022-11-08,Monica Tranel,Ryan K. Zinke,0.168,0.83195,0.0112875,00:12:39  8 Nov 2022
House,MS-4,2022-11-08,Johnny L. DuPree,Mike Ezell,0.001025,0.99895,2.5e-05,00:12:39  8 Nov 2022
House,MS-3,2022-11-08,Shuwaski A. Young,Michael Guest,0.0014,0.9986,7.5e-05,00:12:39  8 Nov 2022
House,MS-2,2022-11-08,Bennie G. Thompson,Brian Flowers,0.99665,0.00335,2.5e-05,00:12:39  8 Nov 2022
House,MS-1,2022-11-08,Dianne Black,Trent Kelly,0.0004,0.9996,1.25e-05,00:12:39  8 Nov 2022
House,MO-8,2022-11-08,Randi McCallian,Jason Smith,5e-05,0.99995,0.0,00:12:39  8 Nov 2022
House,MO-7,2022-11-08,Kristen Radaker-Sheafer,Eric Burlison,0.0002,0.9998,2.5e-05,00:12:39  8 Nov 2022
House,MO-6,2022-11-08,Henry Martin,Sam Graves,0.000175,0.999825,0.0,00:12:39  8 Nov 2022
House,MO-5,2022-11-08,"Emanuel Cleaver, II",Jacob Turk,0.99405,0.00595,0.0001,00:12:39  8 Nov 2022
House,MO-4,2022-11-08,Jack Truman,Mark Alford,0.0006,0.999375,6.25e-05,00:12:39  8 Nov 2022
House,MO-3,2022-11-08,Bethany Mann,Blaine Luetkemeyer,0.000825,0.999175,3.75e-05,00:12:39  8 Nov 2022
House,MO-2,2022-11-08,Trish Gunby,Ann Wagner,0.013875,0.986125,0.0008375,00:12:39  8 Nov 2022
