,cycle,branch,district,forecastdate,name_D1,name_R1,winner_D1,winner_R1,tipping,timestamp
0,2022,House,WY-1,11/8/22,Lynnette GreyBull,Harriet Hageman,0.000825,0.999175,2.5e-05,00:12:39  8 Nov 2022
1,2022,House,WV-2,11/8/22,Barry Lee Wendell,Alexander X. Mooney,0.0005,0.9995,2.5e-05,00:12:39  8 Nov 2022
2,2022,House,WV-1,11/8/22,Lacy Watson,Carol Miller,0.000725,0.999275,3.75e-05,00:12:39  8 Nov 2022
4,2022,House,WI-7,11/8/22,Richard Dick Ausman,Tom Tiffany,0.006075,0.993925,0.000375,00:12:39  8 Nov 2022
6,2022,House,WI-5,11/8/22,Mike Van Someren,Scott Fitzgerald,0.0016,0.9984,7.5e-05,00:12:39  8 Nov 2022
7,2022,House,WI-4,11/8/22,Gwen Moore,Tim Rogers,0.999875,0.000125,0.0,00:12:39  8 Nov 2022
8,2022,House,WI-3,11/8/22,Brad Pfaff,Derrick Van Orden,0.1191,0.8809,0.008125,00:12:39  8 Nov 2022
9,2022,House,WI-2,11/8/22,Mark Pocan,Erik Olsen,0.99985,0.00015,1.25e-05,00:12:39  8 Nov 2022
10,2022,House,WI-1,11/8/22,Ann Roe,Bryan Steil,0.055925,0.944075,0.00345,00:12:39  8 Nov 2022
11,2022,House,WA-9,11/8/22,Adam Smith,Doug Basler,0.99965,0.00035,0.0,00:12:39  8 Nov 2022
12,2022,House,WA-8,11/8/22,Kim Schrier,Matt Larkin,0.695575,0.304425,0.0083875,00:12:39  8 Nov 2022
13,2022,House,WA-7,11/8/22,Pramila Jayapal,Cliff Moon,1.0,0.0,0.0,00:12:39  8 Nov 2022
14,2022,House,WA-6,11/8/22,Derek Kilmer,Elizabeth Kreiselmaier,0.961125,0.038875,0.00095,00:12:39  8 Nov 2022
15,2022,House,WA-5,11/8/22,Natasha Hill,Cathy McMorris Rodgers,0.016975,0.983025,0.000975,00:12:39  8 Nov 2022
16,2022,House,WA-4,11/8/22,Doug White,Dan Newhouse,0.004025,0.995975,0.0001875,00:12:39  8 Nov 2022
17,2022,House,WA-3,11/8/22,Marie Gluesenkamp Perez,Joe Kent,0.1529,0.8471,0.012775,00:12:39  8 Nov 2022
18,2022,House,WA-2,11/8/22,Rick Larsen,Dan Matthews,0.983325,0.016675,0.0002625,00:12:39  8 Nov 2022
19,2022,House,WA-1,11/8/22,Suzan DelBene,Vincent J. Cavaleri,0.9935,0.0065,0.0001375,00:12:39  8 Nov 2022
20,2022,House,WA-10,11/8/22,Marilyn Strickland,Keith R. Swank,0.9467,0.0533,0.00105,00:12:39  8 Nov 2022
21,2022,House,VT-1,11/8/22,Becca Balint,Liam Madden,0.99945,0.00055,0.0,00:12:39  8 Nov 2022
22,2022,House,VA-9,11/8/22,Taysha Lee DeVaughan,H. Morgan Griffith,0.000125,0.999875,0.0,00:12:39  8 Nov 2022
23,2022,House,VA-8,11/8/22,Donald S. Beyer Jr.,Karina A. Lipsman,0.99995,5e-05,1.25e-05,00:12:39  8 Nov 2022
24,2022,House,VA-7,11/8/22,Abigail A. Spanberger,Yesli I. Vega,0.651725,0.348275,0.0105875,00:12:39  8 Nov 2022
25,2022,House,VA-6,11/8/22,Jennifer Lynn Lewis,Ben L. Cline,0.0012,0.9988,8.75e-05,00:12:39  8 Nov 2022
26,2022,House,VA-5,11/8/22,Joshua M. Throneburg,Robert G. “Bob” Good,0.0188,0.9812,0.00125,00:12:39  8 Nov 2022
27,2022,House,VA-4,11/8/22,A. Donald McEachin,Leon Benjamin Sr.,0.9994,0.0006,0.0,00:12:39  8 Nov 2022
28,2022,House,VA-3,11/8/22,Robert C. “Bobby” Scott,Terry T. Namkung,0.999125,0.000875,2.5e-05,00:12:39  8 Nov 2022
29,2022,House,VA-2,11/8/22,Elaine G. Luria,Jen A. Kiggans,0.56575,0.43425,0.0130375,00:12:39  8 Nov 2022
30,2022,House,VA-1,11/8/22,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,0.015925,0.984075,0.0009,00:12:39  8 Nov 2022
31,2022,House,VA-11,11/8/22,Gerald E. “Gerry” Connolly,James G. “Jim” Myles,0.9985,0.0015,3.75e-05,00:12:39  8 Nov 2022
32,2022,House,VA-10,11/8/22,Jennifer T. Wexton,Hung Cao,0.79255,0.20745,0.0050625,00:12:39  8 Nov 2022
33,2022,House,UT-4,11/8/22,Darlene McDonald,Burgess Owens,0.00585,0.99415,0.0003125,00:12:39  8 Nov 2022
34,2022,House,UT-3,11/8/22,Glenn J. Wright,John Curtis,0.00885,0.99115,0.0005875,00:12:39  8 Nov 2022
35,2022,House,UT-2,11/8/22,Nick Mitchell,Chris Stewart,0.013725,0.986275,0.0009,00:12:39  8 Nov 2022
36,2022,House,UT-1,11/8/22,Rick Edwin Jones,Blake D. Moore,0.00515,0.99485,0.0004375,00:12:39  8 Nov 2022
37,2022,House,TX-9,11/8/22,Al Green,Jimmy I. Leon,0.999875,0.000125,1.25e-05,00:12:39  8 Nov 2022
38,2022,House,TX-8,11/8/22,Laura Jones,Morgan Luttrell,0.00795,0.99205,0.00035,00:12:39  8 Nov 2022
39,2022,House,TX-7,11/8/22,Lizzie Fletcher,Johnny Teague,0.994125,0.005875,3.75e-05,00:12:39  8 Nov 2022
41,2022,House,TX-5,11/8/22,Tartisha Hill,Lance Gooden,0.0012,0.9988,7.5e-05,00:12:39  8 Nov 2022
42,2022,House,TX-4,11/8/22,Iro Omere,Pat Fallon,0.001,0.9990000000000001,5e-05,00:12:39  8 Nov 2022
43,2022,House,TX-38,11/8/22,Duncan F. Klussmann,Wesley Hunt,0.006775,0.9932,0.0003625,00:12:39  8 Nov 2022
44,2022,House,TX-37,11/8/22,Lloyd Doggett,Jenny Garcia Sharon,1.0,0.0,0.0,00:12:39  8 Nov 2022
45,2022,House,TX-36,11/8/22,Jon Haire,Brian Babin,0.000275,0.999725,1.25e-05,00:12:39  8 Nov 2022
46,2022,House,TX-35,11/8/22,Greg Casar,Dan McQueen,0.997325,0.002675,2.5e-05,00:12:39  8 Nov 2022
47,2022,House,TX-34,11/8/22,Vicente Gonzalez,Mayra Flores,0.736425,0.263525,0.006425,00:12:39  8 Nov 2022
48,2022,House,TX-33,11/8/22,Marc Veasey,Patrick David Gillespie,0.999675,0.000325,0.0,00:12:39  8 Nov 2022
49,2022,House,TX-32,11/8/22,Colin Allred,Antonio Swad,0.995725,0.004275,8.75e-05,00:12:39  8 Nov 2022
50,2022,House,TX-3,11/8/22,Sandeep Srivastava,Keith Self,0.014525,0.985475,0.00075,00:12:39  8 Nov 2022
52,2022,House,TX-30,11/8/22,Jasmine Crockett,James Rodgers,0.999775,0.000225,0.0,00:12:39  8 Nov 2022
53,2022,House,TX-29,11/8/22,Sylvia Garcia,Robert Schafranek,0.9987,0.0013,1.25e-05,00:12:39  8 Nov 2022
54,2022,House,TX-28,11/8/22,Henry Cuellar,Cassy Garcia,0.870875,0.129125,0.0027,00:12:39  8 Nov 2022
55,2022,House,TX-27,11/8/22,Maclovio Perez Jr.,Michael Cloud,0.001325,0.998675,5e-05,00:12:39  8 Nov 2022
58,2022,House,TX-24,11/8/22,Jan McDowell,Beth Van Duyne,0.00255,0.99745,8.75e-05,00:12:39  8 Nov 2022
59,2022,House,TX-23,11/8/22,John Lira,Tony Gonzales,0.0342,0.9658,0.0022875,00:12:39  8 Nov 2022
60,2022,House,TX-22,11/8/22,Jamie Kaye Jordan,Troy E. Nehls,0.001825,0.998175,0.0001625,00:12:39  8 Nov 2022
61,2022,House,TX-2,11/8/22,Robin Fulford,Dan Crenshaw,0.000625,0.999375,2.5e-05,00:12:39  8 Nov 2022
62,2022,House,TX-21,11/8/22,Claudia Andreana Zapata,Chip Roy,0.001725,0.998275,0.0001125,00:12:39  8 Nov 2022
63,2022,House,TX-20,11/8/22,Joaquin Castro,Kyle Sinclair,0.9958,0.0042,6.25e-05,00:12:39  8 Nov 2022
65,2022,House,TX-18,11/8/22,Sheila Jackson Lee,Carmen Maria Montiel,0.99975,0.00025,1.25e-05,00:12:39  8 Nov 2022
66,2022,House,TX-17,11/8/22,Mary Jo Woods,Pete Sessions,0.001675,0.998325,8.75e-05,00:12:39  8 Nov 2022
67,2022,House,TX-16,11/8/22,Veronica Escobar,Irene Armendariz-Jackson,0.998225,0.001775,0.0,00:12:39  8 Nov 2022
68,2022,House,TX-15,11/8/22,Michelle Vallejo,Monica De La Cruz,0.36065,0.639275,0.012275,00:12:39  8 Nov 2022
69,2022,House,TX-14,11/8/22,Mikal Williams,Randy Weber,0.000325,0.999675,1.25e-05,00:12:39  8 Nov 2022
70,2022,House,TX-13,11/8/22,Kathleen Brown,Ronny Jackson,0.0001,0.9999,1.25e-05,00:12:39  8 Nov 2022
71,2022,House,TX-12,11/8/22,Trey J. Hunt,Kay Granger,0.00165,0.99835,0.0001625,00:12:39  8 Nov 2022
72,2022,House,TX-1,11/8/22,Jrmar “JJ” Jefferson,Nathaniel Moran,0.0002,0.9998,3.75e-05,00:12:39  8 Nov 2022
74,2022,House,TX-10,11/8/22,Linda Nuno,Michael McCaul,0.002975,0.997025,0.0001875,00:12:39  8 Nov 2022
75,2022,House,TN-9,11/8/22,Steve Cohen,Charlotte Bergmann,0.99975,0.00025,0.0,00:12:39  8 Nov 2022
76,2022,House,TN-8,11/8/22,Lynnette P. Williams,David Kustoff,5e-05,0.99995,1.25e-05,00:12:39  8 Nov 2022
77,2022,House,TN-7,11/8/22,Odessa Kelly,Mark E. Green,0.004825,0.99515,0.0002625,00:12:39  8 Nov 2022
78,2022,House,TN-6,11/8/22,Randal Cooper,John Rose,0.000475,0.999525,5e-05,00:12:39  8 Nov 2022
79,2022,House,TN-5,11/8/22,Heidi Campbell,Andy Ogles,0.236925,0.763075,0.013000000000000001,00:12:39  8 Nov 2022
80,2022,House,TN-4,11/8/22,Wayne Steele,Scott DesJarlais,0.00015,0.99985,0.0,00:12:39  8 Nov 2022
81,2022,House,TN-3,11/8/22,Meg Gorman,Chuck Fleischmann,0.000275,0.999725,1.25e-05,00:12:39  8 Nov 2022
82,2022,House,TN-2,11/8/22,Mark Harmon,Tim Burchett,0.0004,0.9996,5e-05,00:12:39  8 Nov 2022
83,2022,House,TN-1,11/8/22,Cameron Parsons,Diana Lynn Harshbarger,2.5e-05,0.999975,0.0,00:12:39  8 Nov 2022
85,2022,House,SC-7,11/8/22,Daryl W. Scott,Russell Fry,0.01575,0.98425,0.0009625,00:12:39  8 Nov 2022
86,2022,House,SC-6,11/8/22,James E. “Jim” Clyburn,Duke Buckner,0.998275,0.001725,2.5e-05,00:12:39  8 Nov 2022
87,2022,House,SC-5,11/8/22,Evangeline Hundley,Ralph Norman,0.00195,0.998025,0.0001125,00:12:39  8 Nov 2022
90,2022,House,SC-2,11/8/22,Judd Larkins,Joe Wilson,0.00695,0.99305,0.0004125,00:12:39  8 Nov 2022
91,2022,House,SC-1,11/8/22,Annie Andrews,Nancy Mace,0.0103,0.9897,0.0007125,00:12:39  8 Nov 2022
92,2022,House,RI-2,11/8/22,Seth M. Magaziner,Allan W. Fung,0.172325,0.82765,0.0114,00:12:39  8 Nov 2022
93,2022,House,RI-1,11/8/22,David N. Cicilline,Allen R. Waters,0.9983,0.0017,2.5e-05,00:12:39  8 Nov 2022
94,2022,House,PA-9,11/8/22,Amanda R. Waldman,Dan Meuser,5e-05,0.99995,0.0,00:12:39  8 Nov 2022
95,2022,House,PA-8,11/8/22,Matt Cartwright,Jim Bognet,0.681575,0.318425,0.0096875,00:12:39  8 Nov 2022
96,2022,House,PA-7,11/8/22,Susan Wild,Lisa Scheller,0.463475,0.536525,0.01595,00:12:39  8 Nov 2022
97,2022,House,PA-6,11/8/22,Chrissy Houlahan,Guy Louis Ciarrocchi,0.942625,0.057375,0.0009875,00:12:39  8 Nov 2022
98,2022,House,PA-5,11/8/22,Mary Gay Scanlon,David Galluch,0.998525,0.001475,0.0,00:12:39  8 Nov 2022
99,2022,House,PA-4,11/8/22,Madeleine Dean,Christian Nascimento,0.977675,0.022325,0.0005,00:12:39  8 Nov 2022
101,2022,House,PA-2,11/8/22,Brendan F. Boyle,Aaron Bashir,0.9998,0.0002,0.0,00:12:39  8 Nov 2022
102,2022,House,PA-17,11/8/22,Chris Deluzio,Jeremy Shaffer,0.48525,0.51475,0.0148875,00:12:39  8 Nov 2022
103,2022,House,PA-16,11/8/22,Dan Pastore,Mike Kelly,0.003925,0.996075,0.000225,00:12:39  8 Nov 2022
104,2022,House,PA-15,11/8/22,Michael Molesevich,Glenn “GT” Thompson,0.000325,0.999675,1.25e-05,00:12:39  8 Nov 2022
107,2022,House,PA-12,11/8/22,Summer Lee,Mike Doyle,0.91345,0.08655,0.0019625,00:12:39  8 Nov 2022
108,2022,House,PA-1,11/8/22,Ashley Ehasz,Brian Fitzpatrick,0.078075,0.921925,0.0058125,00:12:39  8 Nov 2022
109,2022,House,PA-11,11/8/22,Bob Hollister,Lloyd K. Smucker,0.00205,0.99795,0.0001375,00:12:39  8 Nov 2022
110,2022,House,PA-10,11/8/22,Shamaine Daniels,Scott Perry,0.227075,0.772925,0.012175,00:12:39  8 Nov 2022
111,2022,House,OR-6,11/8/22,Andrea Salinas,Mike Erickson,0.318225,0.68175,0.0170625,00:12:39  8 Nov 2022
112,2022,House,OR-5,11/8/22,Jamie McLeod-Skinner,Lori Chavez-DeRemer,0.34155,0.65845,0.015775,00:12:39  8 Nov 2022
113,2022,House,OR-4,11/8/22,Val Hoyle,Alek Skarlatos,0.668725,0.331275,0.009475,00:12:39  8 Nov 2022
114,2022,House,OR-3,11/8/22,Earl Blumenauer,Joanna Harbour,0.9999,0.0001,0.0,00:12:39  8 Nov 2022
115,2022,House,OR-2,11/8/22,Joe Yetter,Cliff S. Bentz,0.0018,0.9982,3.75e-05,00:12:39  8 Nov 2022
116,2022,House,OR-1,11/8/22,Suzanne Bonamici,Christopher A. Mann,0.999125,0.000875,1.25e-05,00:12:39  8 Nov 2022
117,2022,House,OK-5,11/8/22,Joshua Harris-Till,Stephanie Bice,0.0019,0.9981,0.00025,00:12:39  8 Nov 2022
118,2022,House,OK-4,11/8/22,Mary Brannon,Tom Cole,0.000525,0.999475,5e-05,00:12:39  8 Nov 2022
119,2022,House,OK-3,11/8/22,Jeremiah A. Ross,Frank D. Lucas,2.5e-05,0.999975,0.0,00:12:39  8 Nov 2022
120,2022,House,OK-2,11/8/22,Naomi Andrews,Josh Brecheen,5e-05,0.99995,0.0,00:12:39  8 Nov 2022
121,2022,House,OK-1,11/8/22,Adam Martin,Kevin Hern,0.001075,0.998925,7.5e-05,00:12:39  8 Nov 2022
122,2022,House,OH-9,11/8/22,Marcy Kaptur,J.R. Majewski,0.718,0.282,0.0073,00:12:39  8 Nov 2022
123,2022,House,OH-8,11/8/22,Vanessa Enoch,Warren Davidson,0.001725,0.998275,8.75e-05,00:12:39  8 Nov 2022
124,2022,House,OH-7,11/8/22,Matthew Diemer,Max Miller,0.0899,0.9101,0.0042875,00:12:39  8 Nov 2022
125,2022,House,OH-6,11/8/22,Louis G. Lyras,Bill Johnson,0.001575,0.998425,6.25e-05,00:12:39  8 Nov 2022
126,2022,House,OH-5,11/8/22,Craig Swartz,Bob Latta,0.001625,0.998375,5e-05,00:12:39  8 Nov 2022
127,2022,House,OH-4,11/8/22,Tamie Wilson,Jim Jordan,0.0002,0.9998,2.5e-05,00:12:39  8 Nov 2022
128,2022,House,OH-3,11/8/22,Joyce Beatty,Lee R. Stahley,0.9998,0.0002,1.25e-05,00:12:39  8 Nov 2022
129,2022,House,OH-2,11/8/22,Samantha Meadows,Brad Wenstrup,7.5e-05,0.999925,0.0,00:12:39  8 Nov 2022
130,2022,House,OH-15,11/8/22,Gary Josephson,Mike Carey,0.02535,0.97465,0.0016375,00:12:39  8 Nov 2022
131,2022,House,OH-14,11/8/22,Matt Kilboy,David P. Joyce,0.010725,0.989275,0.0006375,00:12:39  8 Nov 2022
132,2022,House,OH-13,11/8/22,Emilia Sykes,Madison Gesiotto Gilbert,0.424675,0.575325,0.016775,00:12:39  8 Nov 2022
133,2022,House,OH-12,11/8/22,Amy Rippel-Elton,Troy Balderson,0.000725,0.999275,2.5e-05,00:12:39  8 Nov 2022
134,2022,House,OH-1,11/8/22,Greg Landsman,Steve Chabot,0.35895,0.64105,0.0156875,00:12:39  8 Nov 2022
135,2022,House,OH-11,11/8/22,Shontel Brown,Eric J. Brewer,0.999975,2.5e-05,0.0,00:12:39  8 Nov 2022
136,2022,House,OH-10,11/8/22,David Esrati,Mike Turner,0.0468,0.9532,0.0027125,00:12:39  8 Nov 2022
138,2022,House,NY-8,11/8/22,Hakeem S. Jeffries,Yuri Dashevsky,1.0,0.0,0.0,00:12:39  8 Nov 2022
139,2022,House,NY-7,11/8/22,Nydia M. Velázquez,Juan Pagán,1.0,0.0,0.0,00:12:39  8 Nov 2022
140,2022,House,NY-6,11/8/22,Grace Meng,Tom Zmich,0.99685,0.00315,3.75e-05,00:12:39  8 Nov 2022
141,2022,House,NY-5,11/8/22,Gregory Meeks,Paul King,1.0,0.0,0.0,00:12:39  8 Nov 2022
142,2022,House,NY-4,11/8/22,Laura A. Gillen,Anthony P. D'Esposito,0.52415,0.47585,0.010075,00:12:39  8 Nov 2022
143,2022,House,NY-3,11/8/22,Robert P. Zimmerman,George A.D. Santos,0.531875,0.468125,0.011175,00:12:39  8 Nov 2022
144,2022,House,NY-26,11/8/22,Brian Higgins,Steven L. Sams II,0.98865,0.01135,0.0002,00:12:39  8 Nov 2022
145,2022,House,NY-25,11/8/22,Joseph D. Morelle,La'Ron D. Singletary,0.869025,0.130975,0.0031375,00:12:39  8 Nov 2022
146,2022,House,NY-24,11/8/22,Steven Holden,Claudia Tenney,0.007325,0.992675,0.0005,00:12:39  8 Nov 2022
